DATE,LIQUIDITY
2020-06-22T00:00:00Z,1296872629.7456527
2020-06-23T00:00:00Z,1276848650.3027816
2020-06-24T00:00:00Z,1339493172.3466883
2020-06-25T00:00:00Z,1344061534.5981529
2020-06-26T00:00:00Z,1350200432.7922812
2020-06-27T00:00:00Z,1373094523.3612154
2020-06-28T00:00:00Z,1393011705.0560288
2020-06-29T00:00:00Z,1421312295.4624789
2020-06-30T00:00:00Z,1420119567.3137012
2020-07-01T00:00:00Z,1322594170.5111654
2020-07-02T00:00:00Z,1336449856.8228366
2020-07-03T00:00:00Z,1344570614.1723661
2020-07-04T00:00:00Z,1391301664.8215206
2020-07-05T00:00:00Z,1414559170.040716
2020-07-06T00:00:00Z,1464119312.8519914
2020-07-07T00:00:00Z,1617252834.2274032
2020-07-08T00:00:00Z,1716317195.5438738
2020-07-09T00:00:00Z,1708687218.5080924
2020-07-10T00:00:00Z,1718032501.2329812
2020-07-11T00:00:00Z,1800439425.6935542
2020-07-12T00:00:00Z,1932348543.1943514
2020-07-13T00:00:00Z,2167139508.0145736
2020-07-14T00:00:00Z,2245775789.69804
2020-07-15T00:00:00Z,2415431661.258071
2020-07-16T00:00:00Z,2457133492.9255414
2020-07-17T00:00:00Z,2584770623.4267497
2020-07-18T00:00:00Z,2669728839.837749
2020-07-19T00:00:00Z,4125124908.7851233
2020-07-20T00:00:00Z,5728425374.030571
2020-07-21T00:00:00Z,7118582632.385796
2020-07-22T00:00:00Z,7662064104.825319
2020-07-23T00:00:00Z,8515788207.941125
2020-07-24T00:00:00Z,8410492327.042489
2020-07-25T00:00:00Z,8282344518.888156
2020-07-26T00:00:00Z,7800028556.863777
2020-07-27T00:00:00Z,5472649431.193704
2020-07-28T00:00:00Z,4876770812.064146
2020-07-29T00:00:00Z,5213972539.801716
2020-07-30T00:00:00Z,5805804978.4179945
2020-07-31T00:00:00Z,6489785512.515571
2020-08-01T00:00:00Z,6755698801.274895
2020-08-02T00:00:00Z,6978577241.259178
2020-08-03T00:00:00Z,6570977546.242438
2020-08-04T00:00:00Z,6376158215.214627
2020-08-05T00:00:00Z,6329638873.784951
2020-08-06T00:00:00Z,6499661818.672616
2020-08-07T00:00:00Z,6694192032.419236
2020-08-08T00:00:00Z,7071850494.1118765
2020-08-09T00:00:00Z,7811112153.5378065
2020-08-10T00:00:00Z,7421355462.537085
2020-08-11T00:00:00Z,7118520212.224863
2020-08-12T00:00:00Z,7138360811.075586
2020-08-13T00:00:00Z,7822534585.202598
2020-08-14T00:00:00Z,13013702681.64982
2020-08-15T00:00:00Z,16515789719.15277
2020-08-16T00:00:00Z,16905607359.335878
2020-08-17T00:00:00Z,17667670806.9187
2020-08-18T00:00:00Z,17446244406.764526
2020-08-19T00:00:00Z,18958140343.111675
2020-08-20T00:00:00Z,19539263066.654278
2020-08-21T00:00:00Z,20347554457.74688
2020-08-22T00:00:00Z,21114369395.18312
2020-08-23T00:00:00Z,20701272037.97376
2020-08-24T00:00:00Z,20816585521.549576
2020-08-25T00:00:00Z,21283167388.74263
2020-08-26T00:00:00Z,21448140179.379566
2020-08-27T00:00:00Z,21322938260.825363
2020-08-28T00:00:00Z,22284968175.643425
2020-08-29T00:00:00Z,24978946299.6067
2020-08-30T00:00:00Z,26910264997.81844
2020-08-31T00:00:00Z,25166776322.733376
2020-09-01T00:00:00Z,25267064528.067333
2020-09-02T00:00:00Z,24897237851.53291
2020-09-03T00:00:00Z,24768667377.468742
2020-09-04T00:00:00Z,24044985087.90283
2020-09-05T00:00:00Z,23877008806.698746
2020-09-06T00:00:00Z,23367829112.30967
2020-09-07T00:00:00Z,23088737696.75032
2020-09-08T00:00:00Z,22921727173.382538
2020-09-09T00:00:00Z,23848614586.735542
2020-09-10T00:00:00Z,26459095503.35533
2020-09-11T00:00:00Z,25795494406.122723
2020-09-12T00:00:00Z,25617833416.010014
2020-09-13T00:00:00Z,26147809544.34159
2020-09-14T00:00:00Z,26186746552.80018
2020-09-15T00:00:00Z,24828386742.84829
2020-09-16T00:00:00Z,23958072091.78653
2020-09-17T00:00:00Z,23911004716.198544
2020-09-18T00:00:00Z,23325852354.50121
2020-09-19T00:00:00Z,21891573606.129597
2020-09-20T00:00:00Z,21278349895.209335
2020-09-21T00:00:00Z,20169635311.429
2020-09-22T00:00:00Z,20159514830.30308
2020-09-23T00:00:00Z,21121478469.848362
2020-09-24T00:00:00Z,22583919379.512436
2020-09-25T00:00:00Z,23665774892.312027
2020-09-26T00:00:00Z,25518999843.281055
2020-09-27T00:00:00Z,26119752686.334488
2020-09-28T00:00:00Z,27310727845.528446
2020-09-29T00:00:00Z,27047041058.491573
2020-09-30T00:00:00Z,25988873476.369717
2020-10-01T00:00:00Z,25128715997.835842
2020-10-02T00:00:00Z,23610285230.60598
2020-10-03T00:00:00Z,23154112433.24685
2020-10-04T00:00:00Z,22462062722.56842
2020-10-05T00:00:00Z,22305472911.715893
2020-10-06T00:00:00Z,21912130079.20953
2020-10-07T00:00:00Z,21194352642.351105
2020-10-08T00:00:00Z,20843978792.34339
2020-10-09T00:00:00Z,21350188232.1374
2020-10-10T00:00:00Z,20512283879.616512
2020-10-11T00:00:00Z,19579697122.471817
2020-10-12T00:00:00Z,19935630436.55494
2020-10-13T00:00:00Z,20080379024.060204
2020-10-14T00:00:00Z,19868376847.245705
2020-10-15T00:00:00Z,19607553252.07647
2020-10-16T00:00:00Z,19599308081.604424
2020-10-17T00:00:00Z,19312450692.275112
2020-10-18T00:00:00Z,19575065399.194622
2020-10-19T00:00:00Z,19185408460.325733
2020-10-20T00:00:00Z,18706227373.483932
2020-10-21T00:00:00Z,19937850134.063046
2020-10-22T00:00:00Z,21413608078.21327
2020-10-23T00:00:00Z,23312300813.431297
2020-10-24T00:00:00Z,24168077833.400967
2020-10-25T00:00:00Z,24016053035.409653
2020-10-26T00:00:00Z,21841289587.224384
2020-10-27T00:00:00Z,21752506061.593483
2020-10-28T00:00:00Z,21306502045.26928
2020-10-29T00:00:00Z,21530254313.926823
2020-10-30T00:00:00Z,21159500995.087738
2020-10-31T00:00:00Z,21443551652.96936
2020-11-01T00:00:00Z,21572038436.309406
2020-11-02T00:00:00Z,21834632911.30942
2020-11-03T00:00:00Z,20964142935.47442
2020-11-04T00:00:00Z,21149182620.453148
2020-11-05T00:00:00Z,20725498176.965416
2020-11-06T00:00:00Z,22669274427.10363
2020-11-07T00:00:00Z,24692755879.622017
2020-11-08T00:00:00Z,24414167764.903023
2020-11-09T00:00:00Z,25295805069.975292
2020-11-10T00:00:00Z,26761103314.184128
2020-11-11T00:00:00Z,27491675467.207314
2020-11-12T00:00:00Z,26716777246.4558
2020-11-13T00:00:00Z,27443981981.867218
2020-11-14T00:00:00Z,27385702674.774704
2020-11-15T00:00:00Z,27371550511.540634
2020-11-16T00:00:00Z,27764593096.26291
2020-11-17T00:00:00Z,30276302554.500156
2020-11-18T00:00:00Z,32908200497.716022
2020-11-19T00:00:00Z,32342842945.74856
2020-11-20T00:00:00Z,33957048756.57584
2020-11-21T00:00:00Z,34441848990.38004
2020-11-22T00:00:00Z,33713047311.245735
2020-11-23T00:00:00Z,34548816625.98055
2020-11-24T00:00:00Z,35681275839.49005
2020-11-25T00:00:00Z,35157499869.23619
2020-11-26T00:00:00Z,31216686001.25804
2020-11-27T00:00:00Z,30967051251.300354
2020-11-28T00:00:00Z,31926726658.408203
2020-11-29T00:00:00Z,33632279469.60922
2020-11-30T00:00:00Z,36151385397.05287
2020-12-01T00:00:00Z,36781554711.37602
2020-12-02T00:00:00Z,36888704082.88217
2020-12-03T00:00:00Z,37618398423.01871
2020-12-04T00:00:00Z,36621433649.59711
2020-12-05T00:00:00Z,35949861692.230194
