DATE,BR_STABLE,BR_VARIABLE,SR
2020-01-12T00:00:00Z,0.03398027851923791,1.000203530469013,0.012434514503509731
2020-01-13T00:00:00Z,0.03390879986901605,1.0002428820937288,0.010524701374765405
2020-01-14T00:00:00Z,0.05184399200991411,1.0003052165665343,0.013690110118310506
2020-01-15T00:00:00Z,0.06355063787264101,1.000364273628846,0.012766280841017776
2020-01-16T00:00:00Z,0.06538621945596707,1.000417568627346,0.01222283294215583
2020-01-17T00:00:00Z,0.06617185870793857,1.0004815863337682,0.011735351189111206
2020-01-18T00:00:00Z,0.06583973021688584,1.0005266623478315,0.011185723127183654
2020-01-19T00:00:00Z,0.0658410317531626,1.0005707105004122,0.010986512961477624
2020-01-20T00:00:00Z,0.06657314297183899,1.0006340786782957,0.010384832787850472
2020-01-21T00:00:00Z,0.06522246432529336,1.000709929278167,0.029434398653576832
2020-01-22T00:00:00Z,0.06507636312871058,1.0008061844491338,0.020861633630032853
2020-01-23T00:00:00Z,0.06341524366314027,1.000866749338624,0.012397692662631724
2020-01-24T00:00:00Z,0.06326691082823184,1.0009237184651611,0.015455400834631284
2020-01-25T00:00:00Z,0.05967020695998937,1.000997809984441,0.01805594943056787
2020-01-26T00:00:00Z,0.06004235212314538,1.001076012288784,0.019478060517379395
2020-01-27T00:00:00Z,0.06915647812539917,1.00117196708055,0.036354402349075846
2020-01-28T00:00:00Z,0.07089579020139396,1.001307835051439,0.04360869916452423
2020-01-29T00:00:00Z,0.059582993538559205,1.0014635657442439,0.03428193050505197
2020-01-30T00:00:00Z,0.06757874147400239,1.001546765307931,0.018578908314558624
2020-01-31T00:00:00Z,0.06798156965418385,1.0016401468606946,0.023117750472401655
2020-02-01T00:00:00Z,0.06838317482597125,1.001739568986486,0.027971293325451906
2020-02-02T00:00:00Z,0.06842856414017486,1.0018456550449446,0.024883094644437474
2020-02-03T00:00:00Z,0.06874788246387754,1.001948933662445,0.02970211783823971
2020-02-04T00:00:00Z,0.06875034480422372,1.0020977811758602,0.06431383052712791
2020-02-05T00:00:00Z,0.06875787187038174,1.0022896494470395,0.045873075739418935
2020-02-06T00:00:00Z,0.06883084685536171,1.0024049712480958,0.025109705783960417
2020-02-07T00:00:00Z,0.07228427790800873,1.0025100519864207,0.02735866230362036
2020-02-08T00:00:00Z,0.07079567010381052,1.0026188684425,0.028381368169704435
2020-02-09T00:00:00Z,0.07233084578500584,1.0027278303270084,0.03285872618567485
2020-02-10T00:00:00Z,0.07680920291229719,1.0028735160106772,0.053719062991085524
2020-02-11T00:00:00Z,0.07866381365122667,1.0030716762456027,0.06684388057505523
2020-02-12T00:00:00Z,0.0647997794011463,1.0032827174996453,0.05458856276003412
2020-02-13T00:00:00Z,0.06824497506635456,1.0034115622360702,0.0262875941801064
2020-02-14T00:00:00Z,0.07545568020439986,1.0035140816647703,0.02635630153452995
2020-02-15T00:00:00Z,0.07436704984892172,1.0036210874468343,0.023943654373007512
2020-02-16T00:00:00Z,0.07165293666735101,1.0037172093907005,0.02555521336416039
2020-02-28T00:00:00Z,0.07852776541849377,1.0051025500685562,0.033006098578032314
2020-02-29T00:00:00Z,0.07782536149256658,1.0052086356810543,0.030610283804683603
2020-03-01T00:00:00Z,0.08256002449266003,1.0053027668235548,0.017778833128429507
2020-03-02T00:00:00Z,0.08255914455164275,1.0053768649440264,0.015198582035115293
2020-03-03T00:00:00Z,0.08072789143341715,1.0054464421721139,0.015373875924190643
2020-03-04T00:00:00Z,0.0803930552712603,1.005553404638867,0.04728745960971994
2020-03-05T00:00:00Z,0.07647700870906464,1.0056979253749445,0.03052015515470806
2020-03-06T00:00:00Z,0.07233947821064668,1.0058070712980862,0.023831904127574726
2020-03-07T00:00:00Z,0.07187204251881256,1.0059005456846437,0.02418051952457714
2020-03-08T00:00:00Z,0.07193465160156402,1.006002289608675,0.020942472365947196
2020-03-09T00:00:00Z,0.07155500832863422,1.0060848814678223,0.0167871378749265
2020-03-10T00:00:00Z,0.07396671950759788,1.0061596998779485,0.014059706545140825
2020-03-11T00:00:00Z,0.0753479855760754,1.006249533959079,0.028538883202983978
2020-03-12T00:00:00Z,0.11492063355765447,1.0063529275118286,0.024782960456962988
2020-03-13T00:00:00Z,0.26461734430444633,1.0064827850417988,0.047077681488587625
2020-03-14T00:00:00Z,0.2646845778096091,1.0066114215355046,0.023372627226089588
2020-03-15T00:00:00Z,0.2646623885464635,1.006683476713561,0.013303632130395683
2020-03-16T00:00:00Z,0.26549783658026654,1.0067506072691819,0.015341402073315413
2020-03-17T00:00:00Z,0.26670780957745555,1.0068284251216912,0.014593423263679677
2020-03-18T00:00:00Z,0.2735788686715488,1.0069055285151272,0.019716377447501696
2020-03-19T00:00:00Z,0.2989921809654589,1.006981062731208,0.013726116646989521
2020-03-20T00:00:00Z,0.299152048104199,1.0070527500361144,0.015674391968941364
2020-03-21T00:00:00Z,0.2988736829670366,1.0071201214103611,0.014081125157387298
2020-03-22T00:00:00Z,0.2988071638376997,1.007185930923321,0.013797137818375013
2020-03-23T00:00:00Z,0.298520779412167,1.0072557255486514,0.014105318434873143
2020-03-24T00:00:00Z,0.2987522947401867,1.0073355550700678,0.014996681404374134
2020-03-25T00:00:00Z,0.2987781712833369,1.0074076492721653,0.015704735066284007
2020-03-26T00:00:00Z,0.2937738760256975,1.0072753700136925,0.01821168021633688
2020-03-27T00:00:00Z,0.2799823226438397,1.0071145681698601,0.014603162839982243
2020-03-28T00:00:00Z,0.27895843486130445,1.0071842389539019,0.013148573213503099
